birthday,deathday,gender,person_id,known_for_department,age,movie_count
1944-05-14,,2,1,Directing,79,3
1951-09-25,,2,2,Acting,72,7
1942-07-13,,2,3,Acting,81,17
1956-10-21,2016-12-27,1,4,Acting,60,6
1980-01-16,,2,1179651,Acting,43,4
1946-02-21,,2,6,Acting,77,10
1965-12-03,,2,7,Writing,58,9
1967-08-08,,2,8,Directing,56,6
1961-01-18,,2,10,Acting,62,10
1994-05-04,,2,12,Acting,29,2
1947-07-22,,2,13,Acting,76,8
1958-01-26,,1,14,Acting,65,2
1977-12-07,,2,1638417,Acting,46,2
1960-04-14,,2,18,Acting,63,16
1959-11-19,,1,19,Acting,64,21
1960-11-18,,1,20,Acting,63,7
1996-02-07,,1,229396,Acting,27,1
1981-01-03,,2,1015830,Acting,42,2
1934-02-17,2023-04-22,2,22,Acting,89,2
1975-09-23,,2,65561,Acting,48,2
1951-05-14,,2,24,Directing,72,9
1982-07-24,,1,32798,Acting,41,5
1956-07-09,,2,31,Acting,67,31
1966-04-08,,1,32,Acting,57,14
1955-03-17,,2,33,Acting,68,5
1957-03-04,,2,34,Acting,66,6
1946-11-06,,1,35,Acting,77,4
1980-11-30,,2,1048610,Crew,43,2
1965-08-01,,2,39,Directing,58,4
1986-09-30,,2,1310760,Acting,37,5
1959-04-17,,2,48,Acting,64,14
1967-04-18,,1,49,Acting,56,14
1953-10-11,,2,52,Acting,70,7
1972-10-30,,2,131125,Acting,51,7
1953-08-27,,2,53,Acting,70,15
1969-07-03,,2,32823,Acting,54,1
1985-07-06,,2,1507385,Acting,38,1
1959-03-18,,2,59,Directing,64,3
1955-03-19,,2,62,Acting,68,31
1975-12-17,,1,63,Acting,48,13
1958-03-21,,2,64,Acting,65,20
1931-09-12,2020-06-19,2,65,Acting,88,10
1971-08-31,,2,66,Acting,52,4
1933-02-02,2006-08-13,2,65598,Acting,73,2
1958-04-29,,1,1212485,Acting,65,1
1963-06-09,,2,85,Acting,60,32
1974-08-11,,2,98394,Acting,49,7
1975-05-30,,2,458843,Acting,48,2
1950-09-10,,2,65629,Directing,73,2
1970-10-31,,2,65630,Directing,53,6
1979-01-08,,1,98,Acting,44,1
1975-09-01,,2,100,Acting,48,6
1967-11-22,,2,103,Acting,56,27
1972-05-16,,2,65640,Acting,51,3
1961-10-31,,2,108,Directing,62,17
1981-01-28,,2,109,Acting,42,9
1958-10-20,,2,110,Acting,65,12
1969-05-14,,1,112,Acting,54,28
1922-05-27,2015-06-07,2,113,Acting,93,14
1977-01-13,,2,114,Acting,46,16
1985-03-26,,1,116,Acting,38,15
1947-10-15,,1,98420,Acting,76,1
