name,birthday,deathday,gender,person_id
George Lucas,1944-05-14,,2,1
Mark Hamill,1951-09-25,,2,2
Harrison Ford,1942-07-13,,2,3
Carrie Fisher,1956-10-21,2016-12-27,1,4
Anthony Daniels,1946-02-21,,2,6
Andrew Stanton,1965-12-03,,2,7
Lee Unkrich,1967-08-08,,2,8
Bob Peterson,1961-01-18,,2,10
Alexander Gould,1994-05-04,,2,12
Albert Brooks,1947-07-22,,2,13
Ellen DeGeneres,1958-01-26,,1,14
Brad Garrett,1960-04-14,,2,18
Allison Janney,1959-11-19,,1,19
Elizabeth Perkins,1960-11-18,,1,20
Barry Humphries,1934-02-17,2023-04-22,2,22
Bill Hunter,1940-02-27,2011-05-21,2,23
Robert Zemeckis,1951-05-14,,2,24
Laura Jaye,1970-06-01,,1,1572886
Eric Roth,1945-03-22,,2,27
Tom Hanks,1956-07-09,,2,31
Robin Wright,1966-04-08,,1,32
Gary Sinise,1955-03-17,,2,33
Mykelti Williamson,1957-03-04,,2,34
Sally Field,1946-11-06,,1,35
Luke Hawker,1980-11-30,,2,1048610
Sam Mendes,1965-08-01,,2,39
Orson Welles,1915-05-06,1985-10-10,2,40
Alan Silvestri,1950-03-26,,2,37
Ki Hong Lee,1986-09-30,,2,1310760
John Fawcett,1968-03-05,,2,43
Lars von Trier,1956-04-30,,2,42
Donald Rice,1977-03-27,,2,1048623
Björk,1965-11-21,,1,47
Sean Bean,1959-04-17,,2,48
Maria Bello,1967-04-18,,1,49
Catherine Deneuve,1943-10-22,,1,50
David Morse,1953-10-11,,2,52
Peter Stormare,1953-08-27,,2,53
Maurice Roëves,1937-03-19,2020-07-14,2,54
Sophie Stuckey,1991-03-01,,1,56
Luc Besson,1959-03-18,,2,59
Bruce Willis,1955-03-19,,2,62
Milla Jovovich,1975-12-17,,1,63
Gary Oldman,1958-03-21,,2,64
Ian Holm,1931-09-12,2020-06-19,2,65
Chris Tucker,1971-08-31,,2,66
Sarah Greene,1984-07-24,,1,1048644
Erich Redman,1964-01-01,,2,1048648
Daniel Svoboda,1971-05-05,,2,1048649
Tilman Döbler,2006-01-01,,2,1835086
Johnny Depp,1963-06-09,,2,85
Bruce Brown,1937-12-01,2017-12-10,2,86
Isabel Coixet,1960-04-09,,1,90
Robert August,1945-06-06,,2,92
Sarah Polley,1979-01-08,,1,98
Amanda Plummer,1957-03-23,,1,99
Scott Speedman,1975-09-01,,2,100
Leonor Watling,1975-07-28,,1,101
Debbie Harry,1945-07-01,,1,102
Mark Ruffalo,1967-11-22,,2,103
Peter Jackson,1961-10-31,,2,108
Elijah Wood,1981-01-28,,2,109
Viggo Mortensen,1958-10-20,,2,110
Cate Blanchett,1969-05-14,,1,112
Christopher Lee,1922-05-27,2015-06-07,2,113
Orlando Bloom,1977-01-13,,2,114
Keira Knightley,1985-03-26,,1,116
Howard Shore,1946-10-18,,2,117
Geoffrey Rush,1951-07-06,,2,118
Amrita Acharia,1987-07-31,,1,1048692
Dariusz Wolski,1956-05-07,,2,120
Barrie M. Osborne,1944-02-07,,2,123
Fran Walsh,1959-01-10,,1,126
Philippa Boyens,1962-01-01,,1,128
Kenny Baker,1934-08-24,2016-08-13,2,130
Jake Gyllenhaal,1980-12-19,,2,131
Scott MacDonald,1959-09-29,,2,132
Peter Sarsgaard,1971-03-07,,2,133
Jamie Foxx,1967-12-13,,2,134
Quentin Tarantino,1963-03-27,,2,138
Uma Thurman,1970-04-29,,1,139
Lucy Liu,1968-12-02,,1,140
David Carradine,1936-12-08,2009-06-03,2,141
Michael Madsen,1957-09-25,2025-07-03,2,147
RZA,1969-07-05,,2,150
Roger Deakins,1949-05-24,,2,151
Jim Morrison,1943-12-08,1971-07-03,2,152
Lucas Black,1982-11-29,,2,155
Sally Menke,1953-12-17,2010-09-27,1,156
Eytan Fox,1964-08-21,,2,160
Walter Murch,1943-07-12,,2,154
Thomas Newman,1955-10-20,,2,153
Lior Ashkenazi,1968-12-28,,2,164
José Manuel Cravioto,1981-01-01,,2,1310888
Hanns Zischler,1947-06-18,,2,169
Michael Winterbottom,1961-03-29,,2,172
Elizabeth Guindi,1961-02-09,,1,1310891
Kieran O'Brien,1973-01-23,,2,176
Margo Stilley,1982-11-20,,1,177
Mat Whitecross,1977-09-21,,2,182
Koji Morimoto,1959-12-26,,2,183
Bárbara de Regil,1987-06-05,,1,1310902
Clint Eastwood,1930-05-31,,2,190
Morgan Freeman,1937-06-01,,2,192
