actor_id,movie_ids,adult,also_known_as,biography,birthday,deathday,gender,homepage,imdb_id,known_for_department,name,place_of_birth,popularity,profile_path
42,"{658817, 456325, 29445, 1354636, 752908, 1446043, 395931, 1446048, 12456, 69807, 1208759, 1276343, 452, 1054150, 532688, 108756, 5206, 50656, 9063, 1446008, 22137, 22140, 108799}",False,"['Ларс фон Триер', '拉斯·馮·提爾', 'ラース・フォン・トリアー', 'لارس فون ترايير', 'Lars Trier', '라스 폰 트리에', '拉斯·冯·提尔', 'لارس فون تریه']","Lars von Trier (born Lars Trier; 30 April 1956) is a Danish film director and screenwriter. He is closely associated with the Dogme 95 collective, although his own films have taken a variety of different approaches. He is known for his female-centric parables and his exploration of controversial subject matter.

Von Trier began making his own films at the age of 11 after receiving a Super-8 camera as a gift, and his first publicly released film was an experimental short called The Orchid Gardener, in 1977. His first feature film came seven years later, The Element of Crime, in 1984. As of 2010, he has directed a further 10 feature films, 5 short films and 4 television productions.

He has been married twice and is currently married to Bente Frøge. Von Trier suffers periodically from depression, as well as various fears and phobias, including an intense fear of flying. As he himself once put it, ""Basically, I'm afraid of everything in life, except filmmaking"".",1956-04-30,,2,,nm0001885,Directing,Lars von Trier,"Kongens Lyngby, Danmark",0.9635,/a1zVySI0Yqqf3ORegQ1icMfvhAa.jpg
53,{15843},False,"['Rolf Peter Ingvar Storm', 'پیتر استورماره', 'پِتِر استورماره']","Peter Stormare (August 27, 1953) was born in Arbrå, Gävleborgs län, Sweden. He is a Swedish film, stage, voice and television actor as well as a theatrical director, playwright and musician. He is perhaps best known for his roles as John Abruzzi in Prison Break and as Gaear Grimsrud, one of the two kidnappers in Fargo.

Peter Stormare began his acting career at the Royal National Theatre of Sweden, performing for eleven years. In 1990 he became the Associate Artistic Director at the Tokyo Globe Theatre and directed productions of many Shakespeare plays, including ""Hamlet"". In 1993 he moved to New York, where he appeared in English productions. He continues to work in both the United States and his his homeland of Sweden. He resides in Los Angeles, California, USA, with his wife.",1953-08-27,,2,,nm0001780,Acting,Peter Stormare,"Arbrå, Gävleborgs län, Sweden",5.0311,/1rtpuUqBV29jDc1huUhtjGDbEwn.jpg
169,{8883},False,[],"Hanns Zischler (born 18 June 1947) is a German actor most famous in America for his portrayal of Hans in Steven Spielberg's film Munich. According to the Internet Movie Database, Zischler has appeared in 171 movies since 1968.

Known in Sweden for his role as Josef Hillman in the second season of the Martin Beck movies, though his voice is dubbed.

Description above from the Wikipedia article Hanns Zischler, licensed under CC-BY-SA, full list of contributors on Wikipedia.​",1947-06-18,,2,,nm0957193,Acting,Hanns Zischler,"Nuremberg, Bavaria, Germany",0.233,/5O4Dum1OuKI4RMB24xjACkL22iA.jpg
378,{266285},False,"['Джонатан Прайс', '조너선 프라이스', '乔纳森·普雷斯', 'جاناتان پرایس']","Jonathan Pryce, CBE (born 1 June 1947) is a Welsh stage and film actor and singer. He earned an Academy Award nomination for his performance in the 2019 film ""The Two Popes.""

After studying at the Royal Academy of Dramatic Art and meeting his long time partner, English actress Kate Fahy, in 1974, he began his career as a stage actor in the 1970s. His work in theatre, including an award-winning performance in the title role of the Royal Court Theatre's ""Hamlet"", led to several supporting roles in film and television. He made his breakthrough screen performance in Terry Gilliam's 1985 cult film ""Brazil"". Critically lauded for his versatility, Pryce has participated in big-budget films such as ""Evita"", ""Tomorrow Never Dies"", ""Pirates of the Caribbean"" and ""The New World"", as well as independent projects such as ""Glengarry Glen Ross"" and ""Carrington"". His career in theatre has also been prolific, and he has won two Tony Awards—the first in 1977 for his Broadway debut in ""Comedians"", the second for his 1991 role as ""The Engineer"" in the musical ""Miss Saigon"".",1947-06-01,,2,,nm0000596,Acting,Jonathan Pryce,"Carmel, Flintshire, Wales, UK",2.1896,/zwSv5uXzPTtmitFe39UdqnVwmdL.jpg
380,{214137},False,"['Robert DeNiro', ' Robert Anthony De Niro Jr. ', 'Bobby DeNiro ', 'รอเบิร์ต เดอ นิโร', 'Ρόμπερτ Μάριο Ντε Νίρο', 'De Niro, Robert', 'رابرت دی نیرو']","Robert Anthony De Niro (born August 17, 1943) is an American actor and film producer. Considered one of his generation's greatest and most influential actors, De Niro has received various accolades, including two Academy Awards and a  Golden Globe Award, as well as nominations for eight BAFTA Awards and four Emmy Awards. He was honoured with the AFI Life Achievement Award in 2003, the Kennedy Center Honors in 2009, the Cecil B. DeMille Award in 2011, and the Screen Actors Guild Life Achievement Award in 2019. De Niro was presented with the Presidential Medal of Freedom by U.S. President Barack Obama in 2016.

De Niro studied acting at HB Studio, Stella Adler Conservatory, and Lee Strasberg's Actors Studio. His first credited screen role was in Brian de Palma's Greetings (1968). De Niro's first collaboration with Martin Scorsese was with the crime drama film Mean Streets (1973). De Niro has earned two Academy Awards: one for Best Supporting Actor for his role as Vito Corleone in Francis Ford Coppola's The Godfather Part II (1974) and the other for Best Actor portraying Jake LaMotta in Scorsese's drama Raging Bull (1980). De Niro was also Oscar-nominated for Taxi Driver (1976), The Deer Hunter (1978), Awakenings (1990), Cape Fear (1991), Silver Linings Playbook (2012), and Killers of the Flower Moon (2023).

He is also known for his film roles in Bang the Drum Slowly (1973), 1900 (1976), The King of Comedy (1982), Once Upon a Time in America(1984), Brazil (1985), The Mission (1986), Angel Heart (1987), The Untouchables (1987), Goodfellas (1990), This Boy's Life (1993), Mary Shelley's Frankenstein (1994), Heat (1995), Casino (1995), Jackie Brown (1997), Joker (2019), and The Irishman (2019). He directed and acted in A Bronx Tale (1993) and The Good Shepherd (2006). His comedic roles include Hi, Mom! (1970), Midnight Run (1988), Wag the Dog (1997), Analyze This (1999) and its sequel, Analyze That (2002), the Meet the Parents films (2000–2010), and The Intern (2015).

Also known for his television roles, De Niro portrayed Bernie Madoff in the HBO film The Wizard of Lies (2017), earning a nomination for the Primetime Emmy Award for Outstanding Lead Actor in a Limited Series or Movie. He received further Emmy Award nominations for producing the Netflix limited series When They See Us (2019) and for portraying Robert Mueller on Saturday Night Live.

De Niro and producer Jane Rosenthal founded the film and television production company TriBeCa Productions in 1989, which has produced several films alongside his own. Also with Rosenthal, he founded the Tribeca Film Festival in 2002. Many of De Niro's films are considered classics of American cinema. Six of De Niro's films have been inducted into the United States National Film Registry by the Library of Congress as ""culturally, historically, or aesthetically significant"" as of 2023. Five films are featured on the American Film Institute's (AFI) list of the 100 greatest American films ever. Timeout magazine's list of 100 best movies included seven of De Niro's films, as chosen by actors in the industry.",1943-08-17,,2,,nm0000134,Acting,Robert De Niro,"Greenwich Village, New York City, New York, USA",3.294,/cT8htcckIuyI1Lqwt1CvD02ynTh.jpg
517,{126250},False,"['Pierce Brendan Brosnan', '皮尔斯布鲁斯南']","Pierce Brendan Brosnan, OBE (May 16, 1953) is an Irish actor, film producer and environmentalist who holds Irish and American citizenship.

After leaving school at 16, Brosnan began training in commercial illustration, but trained at the Drama Centre in London for three years. Following a stage acting career he rose to popularity in the television series Remington Steele (1982–87). After Remington Steele, Brosnan took the lead in many films such as Dante's Peak and The Thomas Crown Affair. In 1995, he became the fifth actor to portray secret agent James Bond in the official film series, starring in four films between 1995 and 2002. He also provided his voice and likeness to Bond in the 2004 video game James Bond 007: Everything or Nothing.

Since playing Bond, he has starred in such successes as The Matador (nominated for a Golden Globe, 2005), Mamma Mia! (National Movie Award, 2008), and The Ghost Writer (2010). In 1996, along with Beau St. Clair, Brosnan formed Irish DreamTime, a Los Angeles-based production company.

In later years, he has become known for his charitable work and environmental activism. He was married to Australian actress Cassandra Harris from 1980 until her death in 1991. He married American journalist and author Keely Shaye Smith in 2001, becoming an American citizen in 2004.",1953-05-16,,2,,nm0000112,Acting,Pierce Brosnan,"Navan, County Meath, Ireland",2.7915,/dzXVwwJLPwiZeXOnf7YxorqVEEM.jpg
585,{72054},False,"['راتخر هاور', 'رودگر هاور']","Rutger Oelsen Hauer (January 23, 1944 – July 19, 2019) was a Dutch film actor. He was well known for his roles in Flesh + Blood, Blind Fury, Blade Runner, The Hitcher, Nighthawks, Sin City, Ladyhawke, The Blood of Heroes and Batman Begins.

Hauer was born in Breukelen, Netherlands, to drama teachers Arend and Teunke, and grew up in Amsterdam. Since his parents were very occupied with their careers, he and his three sisters (one older, two younger) were raised mostly by nannies. At the age of 15, Hauer ran off to sea and spent a year scrubbing decks aboard a freighter. Returning home, he worked as an electrician and a carpenter for three years while attending acting classes at night school. He went on to join an experimental troupe, with which he remained for five years before he was cast in the lead role in the very successful 1969 television series Floris, a Dutch Ivanhoe-like medieval action drama. The role made him famous in his native country.

Hauer's career changed course when director Paul Verhoeven cast him as the lead in Turkish Delight (1973) (based on the Jan Wolkers book of the same name). The movie found box-office favour abroad as well as at home, and within two years, its star was invited to make his English-language debut in the British film The Wilby Conspiracy (1975). Set in South Africa and starring Michael Caine and Sidney Poitier, the film was an action melodrama with a focus on apartheid. Hauer's supporting role, however, was barely noticed in Hollywood, and he returned to Dutch films for several years. Hauer made his American debut in the Sylvester Stallone vehicle Nighthawks (1981), cast as a psychopathic and cold-blooded terrorist named ""Wolfgar"" (after a character in the Old English poem Beowulf). The following year, he appeared in arguably his most famous and acclaimed role as the eccentric, violent, yet sympathetic replicant Roy Batty in Ridley Scott's 1982 sci-fi thriller, Blade Runner.

Hauer was a dedicated environmentalist. He fought for the release of Greenpeace's co-founder, Paul Watson, who was convicted in 1994 for sinking a Norwegian whaling vessel. Hauer has also established an AIDS awareness foundation called the Rutger Hauer Starfish Foundation. He married his second wife, Ineke, in 1985 (they had been together since 1968); and he has one child, actress Aysha Hauer, who was born in 1966 and who made him a grandfather in 1988. In April 2007, he published his autobiography All Those Moments: Stories of Heroes, Villains, Replicants, and Blade Runners (co-written with Patrick Quinlan) where he discussed many of his movie roles. Proceeds of the book go to Hauer's Starfish Foundation.",1944-01-23,2019-07-19,2,http://www.rutgerhauer.com/,nm0000442,Acting,Rutger Hauer,"Breukelen, Utrecht, Netherlands",1.0125,/3Lly7qwOrESdFcwyaiEOfPlB76l.jpg
591,{233687},False,"['Brian James', 'بریون جیمز']","Brion Howard James (February 20, 1945 – August 7, 1999) was an American character actor. Known for playing the character of Leon Kowalski in the movie Blade Runner, James portrayed a variety of colorful roles in well-known American films such as 48 Hrs., Another 48 Hours, Tango & Cash, Silverado, Red Heat, The Player and The Fifth Element. James' commanding screen presence and formidable physique at 6 feet 3 inches (1.91 m) tall usually resulted in his casting as a heavy, appearing more frequently in lower budget horror and action films throughout the 1980s and 1990s. James appeared in more than 100 films before he died of a heart attack aged 54.

Description above from the Wikipedia article Brion James, licensed under CC-BY-SA, full list of contributors on Wikipedia.",1945-02-20,1999-08-07,2,,nm0001397,Acting,Brion James,"Redlands, California, USA",0.7488,/qy5jIIsWrNCV1OVRaUiqYNhLLVT.jpg
677,{20386},False,['موریتس بلایبتروی'],"Moritz Bleibtreu is a German actor.

Bleibtreu's first appearance on TV was in the late seventies on the children's television series Neues aus Uhlenbusch. This was followed by a role in Ich hatte einen Traum and in the miniseries Mit meinen heißen Tränen.  In 1992 he began his acting career at the Schauspielhaus in Hamburg. He had roles in the films Speed Racer, The Baader Meinhof Complex, Run Lola Run, and Das Experiment.",1971-08-13,,2,,nm0001953,Acting,Moritz Bleibtreu,"Munich, Bavaria, Germany",0.5937,/xg2F0OM9ZTLrEvaQsqFSiMH79WB.jpg
782,{19306},False,['استیون برکوف'],"Steven Berkoff (born Leslie Steven Berks; 3 August 1937) is an English actor, author, playwright, theatre practitioner and theatre director.

As a theatre maker he is recognised for staging work with a heightened performance style known as ""Berkovian theatre"", which combines elements of physical theatre, total theatre and expressionism. His work has sometimes been viewed as an example of in-yer-face theatre, due to the intense presentation and taboo-breaking material in a number of his plays. As a screen actor, he is known for his performances in villainous roles, including the portrayals of General Orlov in the James Bond film Octopussy (1983), Victor Maitland in Beverly Hills Cop (1984), Lt. Col. Podovsky in Rambo: First Blood Part II (1985) and Adolf Hitler in War and Remembrance (1988–89).",1937-08-03,,2,https://www.stevenberkoff.com/,nm0000925,Acting,Steven Berkoff,"Stepney, East London, England",0.6222,/3u4gxLWmDXAtY37GvkyCN05X2zw.jpg
