actor_id,name,gender,birthday,deathday,movie_ids,age
42,Lars von Trier,2,1956-04-30,,"{658817, 29445, 456325, 752908, 1354636, 1446043, 395931, 1446048, 12456, 69807, 1276343, 1208759, 452, 1054150, 532688, 108756, 5206, 50656, 9063, 1446008, 22137, 22140, 108799}",68
53,Peter Stormare,2,1953-08-27,,{15843},71
169,Hanns Zischler,2,1947-06-18,,{8883},77
378,Jonathan Pryce,2,1947-06-01,,{266285},77
517,Pierce Brosnan,2,1953-05-16,,{126250},71
585,Rutger Hauer,2,1944-01-23,2019-07-19,{72054},75
591,Brion James,2,1945-02-20,1999-08-07,{233687},54
677,Moritz Bleibtreu,2,1971-08-13,,{20386},53
782,Steven Berkoff,2,1937-08-03,,{19306},87
935,Connie Nielsen,1,1965-07-03,,"{1061064, 3875, 68254}",59
955,Penélope Cruz,1,1974-04-28,,{378951},50
1004,Danny Aiello,2,1933-06-20,2019-12-12,{248140},86
1017,Sonja Richter,1,1974-01-04,,"{12416, 348675, 752908, 33294, 20389, 76458, 396340, 523576, 196024, 41530, 11196, 18880, 655297, 270668, 15831, 538715, 420956, 15837, 990691, 102, 224491, 199924, 562551, 1029880, 16639}",50
1018,Nikolaj Lie Kaas,2,1973-05-22,,"{16014, 29456, 95385, 1446043, 1023, 3875, 173603, 33446, 1317159, 448172, 622129, 22194, 14898, 196024, 38586, 11196, 221501, 663870, 15932, 986812, 436417, 56314, 452, 10180, 25540, 79557, 1054150, 199755, 475088, 141011, 15962, 1446008, 245858, 22243, 254201, 102, 73448, 250, 19306, 4972, 254200, 296313, 479226, 348668, 10751}",51
1019,Mads Mikkelsen,2,1965-11-22,,"{2061, 158605, 16017, 156, 534556, 14893, 23598, 266285, 32947, 8883, 980026, 663870, 187968, 17985, 11328, 10180, 580175, 88273, 3549, 254947, 567398, 102, 4972, 103663, 56311, 296313, 1023}",59
1021,Stine Bjerregaard,1,1986-09-05,,"{102, 1030214}",38
1023,Niels Olsen,2,1960-03-08,,"{33414, 1490443, 1382539, 16014, 53904, 33298, 1031315, 80406, 1077019, 21281, 1288610, 3875, 21284, 33446, 707751, 704679, 29097, 74288, 20018, 140604, 53693, 1202364, 73665, 38851, 60484, 141008, 425554, 30677, 48728, 30681, 30682, 18908, 1359071, 54626, 19812, 87013, 102, 1047914}",64
1024,Ulf Pilgaard,2,1940-11-15,2024-10-28,"{12416, 95491, 700037, 24454, 523527, 1538957, 1444494, 254735, 42771, 1436311, 48793, 56857, 1077019, 53020, 389407, 85281, 84131, 140197, 56873, 983465, 16043, 1117100, 16044, 962737, 57906, 120628, 970935, 187194, 11196, 15932, 60478, 187328, 12609, 1179714, 541634, 706756, 176582, 358346, 100558, 15824, 54609, 218968, 15961, 6498, 1048418, 102, 19306, 1437291, 61297, 1479154, 52596, 1029880, 24953, 24956, 11389}",83
1025,Ronnie Lorenzen,2,1993-04-05,,"{15842, 38851, 102, 710631, 155761, 59190}",31
1026,Anders Nyborg,2,1963-06-19,,"{50656, 102, 232201, 471724, 196986, 62511, 23294, 33298, 25173, 56311, 48728, 15961, 479226, 121500, 663870}",61
1083,Armin Rohde,2,1955-04-04,,{348668},69
1118,Rade Šerbedžija,2,1946-07-27,,{418737},78
1174,Peter Aalbæk Jensen,2,1956-04-08,,"{568648, 179692, 210221, 359821, 148335, 752908, 1446043, 579570, 734107, 85213, 15967}",68
1175,Morten Søborg,2,1964-08-18,,"{306340, 60471}",60
1177,Ib Tardini,2,1948-09-07,,"{33449, 179692, 100558, 33425, 38839, 121530}",76
1181,Peter Gantzler,2,1958-09-28,,"{901251, 523527, 523528, 716295, 713483, 33420, 104733, 33953, 20386, 1288610, 306340, 33446, 16043, 16044, 74288, 970935, 61624, 1355578, 1072444, 120125, 12609, 73665, 40003, 296641, 442438, 1466191, 15825, 15956, 335573, 5206, 978006, 1118933, 141530, 15839, 56036, 46823, 196603, 65771, 1470701, 112, 218871, 250, 23291, 199934}",66
1182,Sara Indrio Jensen,1,1975-01-04,,"{112, 547066, 254196, 46296}",49
1183,Ann Eleonora Jørgensen,1,1965-10-16,,"{15816, 708490, 752908, 541773, 33294, 112, 555857, 15825, 708563, 15956, 254741, 25173, 120125, 199934}",59
1184,Anders W. Berthelsen,2,1969-09-28,,"{255746, 901251, 139, 752908, 34061, 16015, 353172, 77077, 89877, 659993, 21275, 885021, 16038, 607528, 523565, 1838, 962737, 14898, 74674, 61624, 13626, 1290697, 571466, 285900, 15955, 15831, 1227608, 15961, 79835, 15836, 15837, 995169, 46823, 416361, 48746, 112, 278768, 48761, 33279}",55
1185,Anette Støvelbæk,1,1967-07-27,,"{287491, 16014, 53904, 80406, 115479, 43032, 21276, 16034, 112293, 44716, 869166, 13626, 1104961, 15815, 285900, 379852, 15830, 755044, 112, 708466, 147190, 199934}",57
1186,Lars Kaalund,2,1964-05-29,,"{16033, 35297, 10180, 1178058, 44716, 15822, 112, 15956, 323381, 18908, 199934}",60
1294,Missi Pyle,1,1972-11-16,,{61652},52
1356,Jean-Pierre Lorit,2,1960-11-29,,{901251},64
1562,Iben Hjejle,1,1971-03-22,,"{33415, 289034, 139, 752908, 16016, 77077, 4991, 1178273, 20389, 22194, 866227, 15931, 10180, 1030214, 310602, 5206, 603094, 79835, 213993, 710635, 48748, 199922, 10751}",53
1563,Jesper Asholt,2,1960-05-11,,"{33411, 440452, 90758, 523528, 55178, 139, 707735, 76314, 103839, 15776, 60065, 23588, 460199, 519594, 286896, 1102384, 20018, 1072444, 1104961, 10180, 173768, 378704, 394834, 708563, 51923, 25173, 708566, 1110614, 137556, 155743, 19812, 56036, 148335, 278768, 296944, 853361, 194547, 56311, 576377, 56314, 80893, 206846}",64
1564,Sofie Gråbøl,1,1968-07-30,,"{12416, 210818, 348675, 365700, 901251, 139, 776717, 242459, 704541, 11174, 33070, 869166, 169012, 489146, 52547, 168772, 10180, 169030, 29000, 168777, 33352, 177865, 191564, 1061064, 169038, 15822, 5206, 18908, 728924, 155743, 35297, 54626, 6498, 213993, 694122, 710633, 622968}",56
1566,Anders Hove,2,1956-01-16,,"{27520, 33411, 33412, 700037, 33416, 139, 33420, 254734, 89877, 22140, 71079, 57256, 12456, 523561, 62511, 710959, 15928, 853561, 5177, 1232827, 653373, 77501, 520768, 436417, 99650, 452, 197958, 168777, 706122, 15952, 15825, 1261050, 137556, 535253, 5206, 365270, 106328, 18908, 479226, 724452, 87013, 710633, 196986, 385136, 1155063, 666232, 547066, 466172}",68
1567,Mette Bratlann,1,1978-03-28,,"{33424, 139, 33438, 707751}",46
1568,Susanne Storm,1,1970-05-14,,"{378022, 710631, 16040, 159432, 1440138, 139, 15819, 252200, 971468, 414993, 1387889, 714260, 734109}",54
1569,Ellen Hillingsø,1,1967-03-09,,"{38913, 16009, 139, 34061, 16014, 26908, 714409, 14893, 62510, 169012, 300220, 1104961, 71107, 78276, 477380, 52473, 710987, 500941, 15951, 117456, 178255, 48725, 645848, 155743, 1075300, 65007, 416370, 629234, 199924, 144630, 721785, 886395}",57
1639,Emily Watson,1,1967-01-14,,"{145, 69807}",57
1640,Stellan Skarsgård,2,1951-06-13,,"{128900, 55178, 69807, 145, 22140}",73
1641,Katrin Cartlidge,1,1961-05-15,2002-09-07,"{145, 69807}",41
1642,Jean-Marc Barr,2,1960-09-27,,"{145, 69807, 5206, 1951}",64
1643,Adrian Rawlins,2,1958-03-27,,"{145, 156}",66
1645,Sandra Voe,1,1936-10-06,,{145},88
1646,Udo Kier,2,1944-10-14,,"{29445, 1054150, 145, 22194, 34870, 22137, 22140, 1195102, 1951}",80
1647,Mikkel Gaup,2,1968-01-16,,{145},56
1648,Roef Ragas,2,1965-05-25,2007-08-30,{145},42
1671,Sverre Anker Ousdal,2,1944-07-18,,{169012},80
1821,Michael Elphick,2,1946-09-19,2002-09-07,"{9063, 12646, 1208759}",55
1833,Jamie Sives,2,1973-08-02,,{156},51
1834,Shirley Henderson,1,1965-11-24,,{156},59
1836,Julia Davis,1,1966-08-25,,{156},58
1839,Lorraine McIntosh,1,1964-05-13,,{156},60
2047,Danny Glover,2,1946-07-22,,{1951},78
2201,Max von Sydow,2,1929-04-10,2020-03-08,"{168777, 368275, 11174}",90
