id,title,release_date,runtime,vote_average,vote_count,genre_ids,cast_person_ids
77133,The Abyss,1910-09-12,41,6.3,47,[18],"[55143, 579016, 1268912, 1685436, 1886257, 1272307, 89678, 1106062, 1502586, 12153]"
786475,In the Hands of Imposters,1911-01-23,47,4.0,1,"[18, 80, 10749]","[89676, 1272279, 1415764, 1268297, 29039, 936783, 1272542, 1268302, 579007, 1429801, 1268234, 591198, 1268233, 1268498, 1268298, 1272526, 1040932, 1268231]"
292179,Temptations of a Great City,1911-03-06,41,5.5,14,[18],"[1174479, 89676, 1268863, 1415763, 936779, 1272527, 1415764, 1268861, 29039, 1345852, 1272542]"
629224,A Homeless Bird,1911-05-08,42,2.0,1,[],"[1170362, 29037, 936780, 936783, 2405426]"
283512,The Girl Behind the Counter,1911-08-12,52,0.0,0,"[18, 10749]","[89676, 1017884, 1017488, 1040932, 29044, 1272279, 1268909, 1345852]"
194210,The Black Dream,1911-09-04,53,4.7,13,[18],"[55143, 1174479, 1174480, 1207237, 591055, 2138622]"
238128,A Victim of the Mormons,1911-10-02,50,3.7,3,"[18, 53]","[1174479, 89676, 1268659, 1017488, 591198, 1268298, 1272525, 29039, 1268297, 1272526, 1272527, 1183743, 1272307, 1268231]"
193894,The Pride of the Circus,1912-03-20,46,5.8,9,[18],"[1204597, 1273029, 1156684, 1558824, 1558825, 1558826, 1204594]"
325064,Bride of Death,1912-04-12,40,0.0,0,"[80, 18]","[1268863, 1426307, 1268912, 1268655, 1272307, 579007, 1272542, 1268910, 1272543, 1268297, 1272526, 1416275]"
173883,The Bear Tamer,1912-05-07,50,1.0,1,[18],"[1156682, 1156684, 29029, 1268724, 1558825]"
1210530,The Little Railroad Queen,1912-05-22,40,0.0,0,[18],"[1174479, 3233873, 1272737, 936779, 1272661]"
319775,The Great Circus Catastrophe,1912-08-26,45,3.0,2,[18],"[1174479, 1416276, 1416275, 1268655, 29039, 1268516, 1272585, 1272279, 1268910, 1272586, 1272584]"
650394,The Black Chancellor,1912-10-07,48,6.0,1,"[18, 35]","[1017884, 579016, 1268908, 1174479, 1416275, 1268912, 29039, 1105404]"
922112,The Modern Girl,1912-11-19,42,0.0,0,[],"[1174479, 89676, 1268256, 1272279, 12153, 1268298, 1268253, 1268231, 29039]"
1212664,The Awakening,1913-06-09,43,0.0,0,[],"[1268863, 28991, 2405397, 1272738, 29039]"
